first,second,domain,metric,image_count,mean_difference,lower_95,upper_95,draws,unit,seed
V7,V8,synthetic_bsds,pr_auc,3,-0.06481481481481478,-0.2777777777777777,0.08333333333333331,2000,paired source image,505
V7,V8,synthetic_bsds,brier,50,-4.501144516835181e-06,-1.8669117437924775e-05,9.932499353088988e-06,2000,paired source image,505
C3_token512,C3_token256,all,roc_auc,5,-0.36639879268062625,-0.7582456140350877,0.02544802867383513,2000,paired source image,505
C3_token512,C3_token256,all,pr_auc,5,-0.20697335649416532,-0.5142571714000285,-0.00786764571578648,2000,paired source image,505
C3_token512,C3_token256,all,brier,55,0.002201170539444427,-2.859908180219431e-05,0.004968932434222489,2000,paired source image,505
C3_token512,C3_token256,real_csig,roc_auc,2,-0.24933031503489902,-0.7289473684210526,0.23028673835125452,2000,paired source image,505
C3_token512,C3_token256,real_csig,pr_auc,2,-0.059100057902079964,-0.16064292850007136,0.04244281269591143,2000,paired source image,505
C3_token512,C3_token256,real_csig,brier,5,0.0006196714565020837,-0.001459627572625566,0.0034343651252163364,2000,paired source image,505
C3_token512,C3_token256,synthetic_bsds,roc_auc,3,-0.4444444444444445,-1.0,0.0,2000,paired source image,505
C3_token512,C3_token256,synthetic_bsds,pr_auc,3,-0.3055555555555556,-0.75,0.0,2000,paired source image,505
C3_token512,C3_token256,synthetic_bsds,brier,50,0.0023593204477386615,-9.153412128979392e-05,0.005549210042620312,2000,paired source image,505
