image_id,domain,mode,requested_coverage,pixel_coverage,region_coverage,selected_damage_rate,delivered_damage_fraction,hallucination_rate,psnr,ssim,lpips,dists,psnr_gain,ssim_gain,lpips_gain,dists_gain
bsds_106025,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,31.954546447818018,0.8929525017738342,0.31658151745796204,0.2358262538909912,0.0,0.0,-0.0,-0.0
bsds_106025,synthetic_bsds,oracle_pixel,,0.14221410483092725,,,,,34.16814133739584,0.9246066212654114,0.1270684152841568,0.1463989019393921,2.21359488957782,0.03165411949157715,0.18951310217380524,0.08942735195159912
bsds_112082,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,23.99560004235503,0.6934844851493835,0.17302793264389038,0.15709489583969116,-2.7172406708353947,-0.10325825214385986,-0.03495199978351593,0.006481826305389404
bsds_112082,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,26.712840713190424,0.7967427372932434,0.13807593286037445,0.16357672214508057,0.0,0.0,-0.0,-0.0
bsds_112082,synthetic_bsds,oracle_pixel,,0.3065783252699141,,,,,28.386338857396197,0.8722180724143982,0.06196724623441696,0.10415804386138916,1.673498144205773,0.07547533512115479,0.07610868662595749,0.059418678283691406
bsds_138078,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,10.448356780044216,0.6039071679115295,0.19391655921936035,0.13302761316299438,-0.0567757110319409,-0.04411721229553223,-0.033696770668029785,0.0026789307594299316
bsds_138078,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,10.505132491076157,0.6480243802070618,0.16021978855133057,0.13570654392242432,0.0,0.0,-0.0,-0.0
bsds_138078,synthetic_bsds,oracle_pixel,,0.4962532626084028,,,,,11.003091738420235,0.5919171571731567,0.19248434901237488,0.14249253273010254,0.4979592473440775,-0.05610722303390503,-0.03226456046104431,-0.006785988807678223
bsds_140055,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,21.975065274192097,0.4102663993835449,0.5495699644088745,0.20280182361602783,-1.356488783640529,-0.06654980778694153,-0.049830496311187744,0.038308143615722656
bsds_140055,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,23.331554057832626,0.47681620717048645,0.49973946809768677,0.2411099672317505,0.0,0.0,-0.0,-0.0
bsds_140055,synthetic_bsds,oracle_pixel,,0.24266682210607443,,,,,24.893238341552713,0.6429046988487244,0.2917467951774597,0.19192254543304443,1.561684283720087,0.16608849167823792,0.20799267292022705,0.049187421798706055
