model_id,scope,target,variant,family,seed,domain,image_count,region_count,positive_count,roc_auc,roc_auc_defined_images,pr_auc,pr_auc_defined_images,balanced_accuracy,balanced_accuracy_defined_images,precision,precision_defined_images,recall,recall_defined_images,f1,f1_defined_images,accuracy,accuracy_defined_images,brier,brier_defined_images,ece,ece_defined_images
mixed_groupcv_psnr_benefit_V4_mlp_505,mixed_groupcv,psnr_benefit,V4,mlp,505,real_csig,5,960,8,0.32304753820033955,2,0.025721374892661804,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9895833333333334,5,0.09334359312781451,5,0.2732610282255337,5
mixed_groupcv_psnr_benefit_V4_mlp_505,mixed_groupcv,psnr_benefit,V4,mlp,505,synthetic_bsds,50,200,5,0.5555555555555555,3,0.7129629629629629,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.1330299867384572,50,0.3272523772949353,50
mixed_groupcv_psnr_benefit_V4_mlp_506,mixed_groupcv,psnr_benefit,V4,mlp,506,all,55,1160,13,0.5026994906621393,5,0.4543617652736384,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.14610606974683685,55,0.35628775873108576,55
mixed_groupcv_psnr_benefit_V4_mlp_506,mixed_groupcv,psnr_benefit,V4,mlp,506,real_csig,5,960,8,0.42341539332201467,2,0.06645996873965164,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.11958857421370764,5,0.3261323213732491,5
mixed_groupcv_psnr_benefit_V4_mlp_506,mixed_groupcv,psnr_benefit,V4,mlp,506,synthetic_bsds,50,200,5,0.5555555555555555,3,0.7129629629629629,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.14875781930014978,50,0.35930330246686937,50
mixed_groupcv_psnr_benefit_V4_mlp_507,mixed_groupcv,psnr_benefit,V4,mlp,507,all,55,1160,13,0.5098849273721939,5,0.3438987616045926,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.13198683568647834,55,0.33905804269580225,55
mixed_groupcv_psnr_benefit_V4_mlp_507,mixed_groupcv,psnr_benefit,V4,mlp,507,real_csig,5,960,8,0.6080456517638182,2,0.04030245956703701,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.09770938390773734,5,0.2938688994074862,5
mixed_groupcv_psnr_benefit_V4_mlp_507,mixed_groupcv,psnr_benefit,V4,mlp,507,synthetic_bsds,50,200,5,0.4444444444444445,3,0.5462962962962963,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.13541458086435246,50,0.34357695702463387,50
mixed_groupcv_psnr_benefit_V5_logistic_505,mixed_groupcv,psnr_benefit,V5,logistic,505,all,55,1160,13,0.43621392190152797,5,0.34664651584730044,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.02434394951997488,55,0.04733178798068336,55
mixed_groupcv_psnr_benefit_V5_logistic_505,mixed_groupcv,psnr_benefit,V5,logistic,505,real_csig,5,960,8,0.7572014714204867,2,0.17217184517380665,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.008259597811841799,5,0.011799366289023379,5
mixed_groupcv_psnr_benefit_V5_logistic_505,mixed_groupcv,psnr_benefit,V5,logistic,505,synthetic_bsds,50,200,5,0.22222222222222224,3,0.46296296296296297,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.02595238469078819,50,0.050885030149849374,50
mixed_groupcv_psnr_benefit_V5_mlp_505,mixed_groupcv,psnr_benefit,V5,mlp,505,all,55,1160,13,0.2576891152612714,5,0.2873942174757977,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.10724957695149961,55,0.3004324726525793,55
mixed_groupcv_psnr_benefit_V5_mlp_505,mixed_groupcv,psnr_benefit,V5,mlp,505,real_csig,5,960,8,0.3108894548198453,2,0.024041099245049755,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.06608568789254396,5,0.22249114562097624,5
mixed_groupcv_psnr_benefit_V5_mlp_505,mixed_groupcv,psnr_benefit,V5,mlp,505,synthetic_bsds,50,200,5,0.22222222222222224,3,0.46296296296296297,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.11136596585739518,50,0.3082266053557396,50
mixed_groupcv_psnr_benefit_V5_mlp_506,mixed_groupcv,psnr_benefit,V5,mlp,506,all,55,1160,13,0.44283720052820225,5,0.4041022568873472,5,0.4909847198641765,5,0.010134958499444482,55,0.04242424242424243,55,0.014107716025981248,55,0.703598484848485,55,0.21815368889832315,55,0.4520720373317034,55
mixed_groupcv_psnr_benefit_V5_mlp_506,mixed_groupcv,psnr_benefit,V5,mlp,506,real_csig,5,960,8,0.4404263346538389,2,0.024144531107256832,2,0.5607951329937748,2,0.011484543493889289,5,0.2666666666666667,5,0.021851542952460383,5,0.4895833333333333,5,0.23769532675308552,5,0.47614503110138073,5
mixed_groupcv_psnr_benefit_V5_mlp_506,mixed_groupcv,psnr_benefit,V5,mlp,506,synthetic_bsds,50,200,5,0.4444444444444445,3,0.6574074074074073,3,0.4444444444444444,3,0.01,50,0.02,50,0.013333333333333332,50,0.725,50,0.21619952511284693,50,0.44966473795473577,50
mixed_groupcv_psnr_benefit_V5_mlp_507,mixed_groupcv,psnr_benefit,V5,mlp,507,all,55,1160,13,0.31237502358045655,5,0.3042206792405226,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.1527057486119391,55,0.3722182832707679,55
mixed_groupcv_psnr_benefit_V5_mlp_507,mixed_groupcv,psnr_benefit,V5,mlp,507,real_csig,5,960,8,0.2809375589511413,2,0.02444058699019542,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.13484622586465783,5,0.34612438758679975,5
mixed_groupcv_psnr_benefit_V5_mlp_507,mixed_groupcv,psnr_benefit,V5,mlp,507,synthetic_bsds,50,200,5,0.3333333333333333,3,0.4907407407407407,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.15449170088666725,50,0.37482767283916474,50
