model_id,image_id,domain,coverage,actual_patch_coverage,damage_rate,actual_pixel_coverage,pixel_weighted_damage_rate,selected_count,delivered_damage_fraction,hallucination_rate,psnr_gain,ssim_gain,lpips_gain,dists_gain,psnr_selected,ssim_selected,lpips_selected,dists_selected
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_100098,synthetic_bsds,0.4,0.5,1.0,0.4677754677754678,1.0,2,0.5,,-2.511865267669249,-0.06429983675479889,0.4221891537308693,0.08811688423156738,18.145996598132182,0.4235183000564575,0.24265267699956894,0.20276013016700745
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_100098,synthetic_bsds,0.5,0.5,1.0,0.4677754677754678,1.0,2,0.5,,-2.511865267669249,-0.06429983675479889,0.4221891537308693,0.08811688423156738,18.145996598132182,0.4235183000564575,0.24265267699956894,0.20276013016700745
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_100098,synthetic_bsds,0.6,0.75,1.0,0.8922286772754062,1.0,3,0.75,,-2.049142585744525,-0.031256904204686485,0.3982136895259221,0.07919883728027344,18.062516477927986,0.4837328791618347,0.263569508989652,0.20768727858861288
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_100098,synthetic_bsds,0.7,0.75,1.0,0.8922286772754062,1.0,3,0.75,,-2.049142585744525,-0.031256904204686485,0.3982136895259221,0.07919883728027344,18.062516477927986,0.4837328791618347,0.263569508989652,0.20768727858861288
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_100098,synthetic_bsds,0.8,1.0,1.0,1.0,1.0,4,1.0,,-1.8938614912914469,-0.025190912187099457,0.38333192095160484,0.06593035161495209,18.04626542157624,0.4651772603392601,0.2899715341627598,0.2181495726108551
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_100098,synthetic_bsds,0.9,1.0,1.0,1.0,1.0,4,1.0,,-1.8938614912914469,-0.025190912187099457,0.38333192095160484,0.06593035161495209,18.04626542157624,0.4651772603392601,0.2899715341627598,0.2181495726108551
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_100098,synthetic_bsds,1.0,1.0,1.0,1.0,1.0,4,1.0,,-1.8938614912914469,-0.025190912187099457,0.38333192095160484,0.06593035161495209,18.04626542157624,0.4651772603392601,0.2899715341627598,0.2181495726108551
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_106025,synthetic_bsds,0.1,0.25,1.0,0.10777132272459375,1.0,1,0.25,,-10.837779093264174,-0.03771930932998657,-0.03889484703540802,0.000568091869354248,38.719989554429056,0.9516867399215698,0.12447158992290497,0.15771692991256714
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_106025,synthetic_bsds,0.2,0.25,1.0,0.10777132272459375,1.0,1,0.25,,-10.837779093264174,-0.03771930932998657,-0.03889484703540802,0.000568091869354248,38.719989554429056,0.9516867399215698,0.12447158992290497,0.15771692991256714
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_106025,synthetic_bsds,0.3,0.5,1.0,0.20249221183800623,1.0,2,0.5,,-7.849946819921616,-0.07422462105751038,0.06676372140645981,0.009483367204666138,35.4730324059838,0.8641599118709564,0.1599915698170662,0.17714354395866394
