image_id,scene_id,domain,region_index,psnr_lq,psnr_restored,ssim_lq,ssim_restored,lpips_lq,lpips_restored,dists_lq,dists_restored,psnr_gain,ssim_gain,lpips_gain,dists_gain,four_metric_majority,psnr_benefit
case1,case1,real_csig,14,40.80613057885831,35.86798317888648,0.9972405433654785,0.8300676941871643,0.019213829189538956,0.498694509267807,0.0719178318977356,0.3319630026817322,-4.938147399971825,-0.1671728491783142,-0.47948068007826805,-0.2600451707839966,0,0
case1,case1,real_csig,15,42.570109653925996,36.71197915414025,0.998579204082489,0.8496114015579224,0.010607095435261726,0.45126578211784363,0.08015507459640503,0.35730868577957153,-5.858130499785744,-0.14896780252456665,-0.4406586866825819,-0.2771536111831665,0,0
case1,case1,real_csig,16,28.541137632475394,25.450283031293715,0.9058244824409485,0.8151839375495911,0.11379286646842957,0.39253121614456177,0.19905054569244385,0.3326553702354431,-3.090854601181679,-0.09064054489135742,-0.2787383496761322,-0.13360482454299927,0,0
case1,case1,real_csig,17,27.3995086263278,23.190369783574447,0.8977381587028503,0.7957959771156311,0.12616708874702454,0.4118795692920685,0.21789562702178955,0.34192943572998047,-4.2091388427533545,-0.10194218158721924,-0.28571248054504395,-0.12403380870819092,0,0
case1,case1,real_csig,18,26.513150842603075,20.775096178949028,0.8796568512916565,0.7581552863121033,0.13265840709209442,0.426675021648407,0.21808689832687378,0.3558334708213806,-5.738054663654047,-0.12150156497955322,-0.29401661455631256,-0.13774657249450684,0,0
case1,case1,real_csig,19,29.276836324919365,26.575161060639367,0.9295700788497925,0.8366305828094482,0.08702915906906128,0.35411393642425537,0.1898026466369629,0.3271061182022095,-2.7016752642799986,-0.09293949604034424,-0.2670847773551941,-0.13730347156524658,0,0
case1,case1,real_csig,20,29.858601705574333,27.961498129744186,0.9245659112930298,0.8595925569534302,0.10247446596622467,0.31532344222068787,0.20644551515579224,0.3234267234802246,-1.8971035758301475,-0.06497335433959961,-0.2128489762544632,-0.11698120832443237,0,0
case1,case1,real_csig,21,32.8782335001509,30.97379406872982,0.9626001119613647,0.8968912363052368,0.08337121456861496,0.32290714979171753,0.18817418813705444,0.3103080987930298,-1.9044394314210784,-0.06570887565612793,-0.23953593522310257,-0.12213391065597534,0,0
case1,case1,real_csig,22,34.57312607430804,33.27545853475284,0.9808560609817505,0.9111503958702087,0.03686971962451935,0.3280435800552368,0.18534934520721436,0.32475829124450684,-1.2976675395551993,-0.06970566511154175,-0.29117386043071747,-0.13940894603729248,0,0
case1,case1,real_csig,23,43.253599647727356,38.99478186903242,0.9975724220275879,0.9124253392219543,0.01707347482442856,0.3436780869960785,0.107155442237854,0.32521486282348633,-4.258817778694933,-0.08514708280563354,-0.32660461217164993,-0.21805942058563232,0,0
case1,case1,real_csig,24,42.490156155220625,37.55854596100316,0.9974116086959839,0.8821424245834351,0.017386384308338165,0.411226749420166,0.06556916236877441,0.33808356523513794,-4.931610194217463,-0.11526918411254883,-0.39384036511182785,-0.2725144028663635,0,0
case1,case1,real_csig,25,42.352148623656696,37.78958365998367,0.9977466464042664,0.8887197971343994,0.010350596159696579,0.38383662700653076,0.08562934398651123,0.3386673331260681,-4.562564963673026,-0.10902684926986694,-0.3734860308468342,-0.2530379891395569,0,0
case1,case1,real_csig,26,41.166603132214156,37.555331070104536,0.9979193806648254,0.8910871148109436,0.014881173148751259,0.3568476736545563,0.0713050365447998,0.34070849418640137,-3.61127206210962,-0.10683226585388184,-0.341966500505805,-0.26940345764160156,0,0
case1,case1,real_csig,27,42.28220648121071,38.025554530317535,0.9973822236061096,0.8912306427955627,0.021157952025532722,0.37833166122436523,0.07227712869644165,0.3214060664176941,-4.256651950893172,-0.10615158081054688,-0.3571737091988325,-0.24912893772125244,0,0
case1,case1,real_csig,28,43.32321538781281,37.921892653212666,0.9980696439743042,0.8883068561553955,0.01810452900826931,0.3887783885002136,0.06817877292633057,0.33249491453170776,-5.401322734600143,-0.10976278781890869,-0.3706738594919443,-0.2643161416053772,0,0
case1,case1,real_csig,29,42.701694457415435,37.79102148382114,0.9970186948776245,0.886628270149231,0.018150150775909424,0.4052477478981018,0.07388359308242798,0.3298685550689697,-4.910672973594295,-0.11039042472839355,-0.3870975971221924,-0.25598496198654175,0,0
case1,case1,real_csig,30,43.33812181598571,37.91588227616604,0.996849000453949,0.883082389831543,0.01838470622897148,0.42274925112724304,0.09322655200958252,0.3373868465423584,-5.422239539819671,-0.113766610622406,-0.40436454489827156,-0.24416029453277588,0,0
