image_id,scene_id,domain,scene_category,width,height,region_count,psnr_lq,psnr_restored,ssim_lq,ssim_restored,lpips_lq,lpips_restored,dists_lq,dists_restored,psnr_gain,ssim_gain,lpips_gain,dists_gain,candidate_sha256
bsds_20008,bsds_20008,synthetic_bsds,unreviewed_natural_scene,321,481,4,11.86594988495436,11.582435800534752,0.5904385447502136,0.49333876371383667,0.23289281129837036,0.3373870849609375,0.18035733699798584,0.23766720294952393,-0.28351408441960757,-0.09709978103637695,-0.10449427366256714,-0.057309865951538086,d6c1b6ca8eb135e3bacd893a898ac7c9d7f3722c972fecef40259ddf2ba7d2a0
bsds_216041,bsds_216041,synthetic_bsds,unreviewed_natural_scene,481,321,4,25.32441957442295,21.47139383291586,0.5461859703063965,0.4615958333015442,0.5281932353973389,0.23350517451763153,0.3133866786956787,0.15464484691619873,-3.853025741507089,-0.0845901370048523,0.29468806087970734,0.15874183177947998,e212c64604d86f6681f1730d1e8a6e86de347de5d7378081097fabcbf7ec2360
bsds_225017,bsds_225017,synthetic_bsds,unreviewed_natural_scene,321,481,4,21.57154324557859,20.266237192829234,0.613703727722168,0.6091687083244324,0.5284205675125122,0.22095492482185364,0.2606387138366699,0.14375126361846924,-1.305306052749355,-0.004535019397735596,0.30746564269065857,0.11688745021820068,f908fb58c151fbfff2b60237fa454fe02ee04d20fb95d93e9f87270b6eeebe5e
bsds_23025,bsds_23025,synthetic_bsds,unreviewed_natural_scene,321,481,4,26.50304191899483,21.686607404710575,0.7356586456298828,0.5754434466362,0.45500099658966064,0.251881867647171,0.21496564149856567,0.13694006204605103,-4.8164345142842535,-0.16021519899368286,0.20311912894248962,0.07802557945251465,35b8a7520d90e32160c22e5db5f7c3f0d43b681ae29146cdafa83093fd0ff602
bsds_23080,bsds_23080,synthetic_bsds,unreviewed_natural_scene,481,321,4,28.45714357653953,21.057347422964483,0.7426453232765198,0.6183142066001892,0.17834335565567017,0.18943896889686584,0.17451173067092896,0.15801578760147095,-7.399796153575046,-0.12433111667633057,-0.011095613241195679,0.016495943069458008,a7de566a87ecce3b520a5dd2670a5bbc6a8e057d99df7a841e88f58c3725f521
bsds_231015,bsds_231015,synthetic_bsds,unreviewed_natural_scene,481,321,4,11.624143389151126,11.1425866132792,0.6071016788482666,0.3663652837276459,0.15149730443954468,0.3315618336200714,0.14197391271591187,0.22636616230010986,-0.48155677587192613,-0.24073639512062073,-0.18006452918052673,-0.084392249584198,68ab57cc8c656c46987da2d915e598a6fc25672b78bf1526480e1155be9c76b2
bsds_236017,bsds_236017,synthetic_bsds,unreviewed_natural_scene,481,321,4,23.591749813282142,19.818076533887144,0.5024065375328064,0.33862268924713135,0.5175223350524902,0.4004635214805603,0.2774178981781006,0.19288098812103271,-3.7736732793949983,-0.16378384828567505,0.11705881357192993,0.08453691005706787,018e06bded75f9081a8313a6fa0e8c1d2afb4f9fb449b8525bed29f9f428fc45
bsds_245051,bsds_245051,synthetic_bsds,unreviewed_natural_scene,481,321,4,23.318696915498723,20.48210574012917,0.727765679359436,0.7091283202171326,0.484454482793808,0.1627153903245926,0.2782689929008484,0.13020724058151245,-2.836591175369552,-0.018637359142303467,0.3217390924692154,0.14806175231933594,091f3dcf5b7a00c2ae9aae09b421ae928f0433815d0da3348e0d86d633273e32
bsds_246016,bsds_246016,synthetic_bsds,unreviewed_natural_scene,321,481,4,28.41713945976086,25.443717865820815,0.8693233728408813,0.8237754106521606,0.2879318296909332,0.1730557680130005,0.18335294723510742,0.13861602544784546,-2.9734215939400457,-0.0455479621887207,0.11487606167793274,0.04473692178726196,5c5f2ee42dcd99b58acc2b84de13a4ed23451485b217a304033ac72fdef94720
bsds_249061,bsds_249061,synthetic_bsds,unreviewed_natural_scene,481,321,4,28.06113338835429,22.007185331462097,0.6863397359848022,0.7003675103187561,0.2838960289955139,0.15274113416671753,0.201147198677063,0.14820516109466553,-6.053948056892192,0.014027774333953857,0.1311548948287964,0.05294203758239746,b6bf9e600631fcb3d530fa029adb19507a413d121699195e9bfb074758bf273b
