model_id,scope,target,variant,family,seed,image_id,domain,roc_auc,pr_auc,balanced_accuracy,precision,recall,f1,accuracy,brier,ece,positive_count,region_count
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_309004,synthetic_bsds,,,,0.0,0.0,0.0,1.0,3.6306785626353036e-05,0.004873104971122372,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_311081,synthetic_bsds,,,,0.0,0.0,0.0,1.0,9.097051884314136e-06,0.0026704651589639613,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_314016,synthetic_bsds,,,,0.0,0.0,0.0,1.0,3.1272480966681016e-07,0.0005344896197339785,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_323016,synthetic_bsds,,,,0.0,0.0,0.0,1.0,4.143814422497114e-06,0.0017316656105254204,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_368078,synthetic_bsds,,,,0.0,0.0,0.0,1.0,3.4279697050530824e-07,0.0004840195646034728,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_374020,synthetic_bsds,,,,0.0,0.0,0.0,1.0,4.775802814507202e-09,6.17296581794228e-05,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_385028,synthetic_bsds,,,,0.0,0.0,0.0,1.0,3.327700524697358e-08,0.00016676766712204566,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_41004,synthetic_bsds,0.33333333333333337,0.3333333333333333,0.5,0.0,0.0,0.0,0.75,0.24997208121470457,0.24974948450441356,1,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_45077,synthetic_bsds,,,,0.0,0.0,0.0,1.0,1.9987627350656302e-07,0.0003856475606577977,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_46076,synthetic_bsds,0.33333333333333337,0.3333333333333333,0.5,0.0,0.0,0.0,0.75,0.24977516003981023,0.24931332177722293,1,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_59078,synthetic_bsds,,,,0.0,0.0,0.0,1.0,1.3422186430477532e-06,0.0010447622840043715,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_61086,synthetic_bsds,,,,0.0,0.0,0.0,1.0,6.093107480687079e-07,0.0005996371408723822,0,4
